Date,total_dissolved_posphorus_ugL,DOC_mgL,nitrate_nitrite_mgL
5/15/12,,2.88,0.459
5/15/12,4.61,1.8,0.325
5/15/12,9.66,4.35,0.515
5/15/12,6.01,2.53,0.513
5/31/12,12.29,2.8,0.466
5/31/12,2.53,1.94,0.323
5/31/12,21.04,5.83,1.852
5/31/12,18.68,3.1,0.594
6/11/12,7.86,3.1,0.451
6/11/12,3.38,1.93,0.268
6/22/12,8.02,2.48,0.337
6/22/12,3.91,1.98,0.19
6/22/12,5.53,4.07,0.192
6/22/12,17.85,2.92,0.447
7/12/12,9.07,3.62,0.157
7/12/12,5.31,2.47,0.153
7/12/12,5.88,3.22,
7/12/12,7.69,2.86,0.065
7/23/12,25.05,3.29,0.01
7/23/12,10.13,,0.031
7/23/12,35.36,4.03,0.046
7/23/12,19.68,,0.019
7/27/12,,,0.062
7/31/12,16.55,3.21,0.413
7/31/12,3.81,3.42,0.446
7/31/12,9.92,3.97,0.424
7/31/12,9.91,3.42,0.401
7/31/12,4.36,,0.389
7/31/12,10.61,,0.405
7/31/12,4.25,,0.405
8/6/12,10.64,2.72,0.394
8/6/12,4.42,2.74,0.475
8/6/12,8.1,4.41,0.413
8/6/12,7.84,3.95,0.441
8/6/12,7.52,,0.434
8/13/12,13.66,2.72,
8/13/12,4.15,1.94,0.21
8/13/12,9.7,4.54,0.002
8/13/12,7.86,3.87,
8/20/12,7.2,2.97,
8/20/12,3.58,2.01,0.202
8/20/12,13.98,5.14,0.168
8/20/12,9.24,3.56,
8/20/12,14.6,,0.123
8/29/12,10.27,3.62,0
8/29/12,8.78,1.99,0.228
8/29/12,11.79,5,0
8/29/12,10,3.95,0.057
9/5/12,17.13,,0.081
9/5/12,4.22,2.19,0.125
9/5/12,6.45,3.47,0
9/5/12,21.99,4.19,0.089
9/5/12,25.54,,0
9/5/12,13.04,,0.005
9/12/12,13.58,,0.426
9/12/12,2.07,2.07,0.482
9/12/12,20.13,4.73,0.408
9/12/12,15.17,4.06,0.397
9/17/12,17.22,3.47,0
9/17/12,16.54,2.11,0.101
9/17/12,2.9,4.87,0.012
9/17/12,15.4,4.05,0
5/29/13,11.82,,0.919
5/29/13,4.7,,0.902
5/29/13,33.01,,2.417
5/29/13,18.68,,2.109
6/10/13,46.1,5.86,4.524
6/10/13,16.75,2.7,0.65
6/10/13,8.66,4.26,1.341
6/10/13,15.9,3.12,1.058
6/17/13,4.15,2.71,0.582
6/17/13,3.11,2.21,0.483
6/17/13,11.82,5.88,6.215
6/17/13,5.92,3.28,0.894
6/24/13,13.21,3.66,1.55
6/24/13,4.43,2.48,0.54
6/24/13,31.28,5.95,6.231
6/24/13,15.45,3.87,1.974
7/3/13,26.31,3.02,1.229
7/3/13,15.6,2.42,0.596
7/3/13,74.3,5.26,6.254
7/3/13,33.35,3.56,2.398
7/8/13,17.04,3.1,0.948
7/8/13,4.53,2.59,0.502
7/8/13,80.82,5.81,6.273
7/8/13,38.41,4.9,3.55
7/15/13,31.08,5.24,6.171
7/15/13,6.3,3.83,0.969
7/15/13,12.9,4.81,2.574
7/15/13,23.3,4.52,2.13
7/15/13,10.86,4.28,2.139
7/17/13,,5.42,
7/17/13,,5.39,
7/17/13,,5.27,
7/17/13,,5.03,
7/22/13,15.31,4.9,2.337
7/22/13,3.33,2.4,0.313
7/22/13,23.81,6.82,6.314
7/22/13,24.12,6.19,2.156
7/29/13,19.1,4.97,2.546
7/29/13,2.59,2.26,0.299
7/29/13,48.51,7.31,6.049
7/29/13,38.88,6.06,2.818
7/30/13,,5.34,
7/30/13,,,
8/2/13,11.02,4.66,1.798
8/5/13,6.91,3.66,1.035
8/5/13,3.87,3.24,0.638
8/5/13,18.94,7.13,2.388
8/5/13,9.52,4.89,1.569
8/5/13,10.29,5.66,2.089
8/5/13,8.44,4.94,1.594
8/5/13,7.99,5.03,1.582
8/12/13,8.03,5.3,1.31
8/12/13,5.52,3.77,1.333
8/12/13,69.32,7.03,1.288
8/12/13,7.19,5.47,1.327
8/19/13,6.67,5.22,1.058
8/19/13,4.14,3.75,0.662
8/19/13,14.4,8.7,0.568
8/19/13,7.24,5.09,0.95
8/19/13,2.39,2.9,0.218
8/26/13,5.81,4.48,0.463
8/26/13,4.35,3.43,0.368
8/26/13,8.79,6.79,0.293
8/26/13,6.37,5.75,0.721
8/26/13,4.51,2.34,0.226
8/26/13,5.79,4.51,0.74
9/3/13,4.63,4.36,0.283
9/3/13,2.18,3.05,0.246
9/3/13,8.24,5.42,0.012
9/3/13,4.47,6.45,0.449
9/3/13,1.21,2.53,0.262
9/3/13,0.92,2.8,0.284
9/10/13,4.51,4.37,0.012
9/10/13,2.15,2.98,0.122
9/10/13,7.32,5.58,0.011
9/10/13,5.66,5.46,0.118
9/10/13,6.94,5.56,0.011
9/17/13,3.63,2.32,0.012
9/17/13,1.41,4.75,0.207
9/17/13,7.14,,0.014
9/17/13,5.12,5.97,0.011
9/17/13,5.26,5.62,0.011
9/23/13,2.19,5.21,0.012
9/23/13,0.16,3.83,0.245
9/23/13,6.43,2.17,0.017
9/23/13,2.67,5.43,0.016
10/15/13,9.95,3.98,0.01
10/15/13,3.22,,0.111
10/15/13,9.5,,0.009
10/15/13,8.48,,0.009
10/15/13,6.2,,0.009
10/15/13,13.3,,0.044
10/15/13,4.98,,0.009
10/15/13,6.04,,0.009
10/21/13,8.75,3.56,0.015
10/21/13,5.98,3.64,0.009
10/21/13,12,5.58,0.304
10/21/13,24.24,5.68,0.253
5/27/14,12.05,5.91,1.904
5/27/14,3.89,3.28,0.305
5/27/14,25.59,8.06,6.555
5/27/14,5.48,3.92,0.765
5/27/14,3.18,2.81,0.305
5/27/14,3.44,2.78,0.281
6/16/14,12.29,3.26,0.483
6/16/14,4.4,3.24,0.475
6/16/14,15.56,6.58,2.044
6/16/14,37.32,5.92,2.003
6/16/14,10.54,3.4,0.545
6/16/14,6.49,3.46,0.485
6/30/14,6.65,3.84,0.472
6/30/14,5.7,3.39,0.612
6/30/14,35.74,6.49,3.876
6/30/14,19.69,5.14,3.049
6/30/14,4.57,3.02,0.445
6/30/14,4.19,3.38,0.472
7/8/14,7.93,4.08,0.598
7/8/14,3.51,3,0.458
7/8/14,16.68,5.8,3.948
7/8/14,16.14,3.2,0.473
7/8/14,5.05,3.05,0.344
7/8/14,1.65,2.43,0.327
7/14/14,6.94,3.89,1.09
7/14/14,3.12,2.78,0.392
7/14/14,32.01,5.67,2.732
7/14/14,16.18,4.18,1.211
7/14/14,4.62,3.05,0.449
7/14/14,2.08,2.87,0.327
7/21/14,4.51,3.41,0.518
7/21/14,1.74,2.38,0.318
7/21/14,8.31,5.46,1.65
7/21/14,9.2,3.54,0.601
7/21/14,4.52,3.75,1.021
7/21/14,1.99,2.69,0.335
7/29/14,5.99,3.4,0.439
7/29/14,3.07,2.44,0.308
7/29/14,10.3,6.02,1.433
7/29/14,6.91,4.21,0.43
7/29/14,7.93,3.68,1.026
7/29/14,3.46,2.34,0.288
8/4/14,4.83,3.9,0.556
8/4/14,3.17,3.28,0.139
8/4/14,6.71,4.86,0.288
8/4/14,4.88,3.67,0.087
8/4/14,5.34,3.95,0.618
8/4/14,1.67,2.57,0.216
8/4/14,7.38,4.91,0.579
8/4/14,6.11,4.72,0.542
8/11/14,6.93,3.9,0.146
8/11/14,5.66,3.28,0.039
8/11/14,6.17,4.86,0.218
8/11/14,7.93,3.67,0.016
8/11/14,5.62,3.95,0.145
